txn_id,date,source,description,amount,type,category,subcategory,confidence,flag
TXN-0101-001,2026-01-02,bank,Westfield Commercial Properties - Rent,-3200.00,debit,Operating Expenses,Rent & Facilities,high,
TXN-0101-002,2026-01-02,bank,Shopify Inc - Monthly Subscription,-79.00,debit,Operating Expenses,Software & Subscriptions,high,
TXN-0103-001,2026-01-03,bank,Amazon Seller Payout,16200.00,credit,Revenue,Marketplace Sales,high,
TXN-0103-002,2026-01-03,bank,TechSource Distributors,-7500.00,debit,COGS,Inventory Purchases,high,
TXN-0106-001,2026-01-06,bank,FedEx Shipping Services,-1050.00,debit,COGS,Shipping & Freight,high,
TXN-0106-002,2026-01-06,bank,Google Ads - Campaign CPC,-580.00,debit,Marketing & Advertising,Digital Advertising,high,
TXN-0108-001,2026-01-08,bank,eBay Managed Payments,4100.00,credit,Revenue,Marketplace Sales,high,
TXN-0110-001,2026-01-10,bank,ADP Payroll Services - Biweekly,-14800.00,debit,Payroll,Salaries & Wages,high,
TXN-0110-002,2026-01-10,bank,Austin Energy - Electric Utility,-395.20,debit,Operating Expenses,Utilities,high,
TXN-0112-001,2026-01-12,bank,Summit Electronics Inc,-4800.00,debit,COGS,Inventory Purchases,high,
TXN-0114-001,2026-01-14,bank,Amazon Seller Payout,12500.00,credit,Revenue,Marketplace Sales,high,
TXN-0114-002,2026-01-14,bank,Meta Platforms - Advertising,-700.00,debit,Marketing & Advertising,Digital Advertising,high,
TXN-0115-001,2026-01-15,bank,State Farm Insurance,-560.00,debit,Operating Expenses,Insurance,high,
TXN-0117-001,2026-01-17,bank,FedEx Shipping Services,-780.00,debit,COGS,Shipping & Freight,high,
TXN-0120-001,2026-01-20,bank,eBay Managed Payments,3200.00,credit,Revenue,Marketplace Sales,high,
TXN-0122-001,2026-01-22,bank,Amazon Seller Payout,9800.00,credit,Revenue,Marketplace Sales,high,
TXN-0125-001,2026-01-25,bank,ADP Payroll Services - Biweekly,-14800.00,debit,Payroll,Salaries & Wages,high,
TXN-0128-001,2026-01-28,bank,TechSource Distributors,-5400.00,debit,COGS,Inventory Purchases,high,
TXN-0129-001,2026-01-29,bank,Amazon Seller Payout,7600.00,credit,Revenue,Marketplace Sales,high,
TXN-0131-001,2026-01-31,bank,Shopify Payout - Direct Sales,5800.00,credit,Revenue,Direct Sales,high,
TXN-0201-001,2026-02-02,bank,Westfield Commercial Properties - Rent,-3200.00,debit,Operating Expenses,Rent & Facilities,high,
TXN-0201-002,2026-02-02,bank,Shopify Inc - Monthly Subscription,-79.00,debit,Operating Expenses,Software & Subscriptions,high,
TXN-0203-001,2026-02-03,bank,Amazon Seller Payout,17400.00,credit,Revenue,Marketplace Sales,high,
TXN-0203-002,2026-02-03,bank,TechSource Distributors,-8100.00,debit,COGS,Inventory Purchases,high,
TXN-0205-001,2026-02-05,bank,FedEx Shipping Services,-1120.00,debit,COGS,Shipping & Freight,high,
TXN-0205-002,2026-02-05,bank,Google Ads - Campaign CPC,-620.00,debit,Marketing & Advertising,Digital Advertising,high,
TXN-0207-001,2026-02-07,bank,eBay Managed Payments,4900.00,credit,Revenue,Marketplace Sales,high,
TXN-0207-002,2026-02-07,bank,UPS Freight Charges,-890.00,debit,COGS,Shipping & Freight,high,
TXN-0210-001,2026-02-10,bank,ADP Payroll Services - Biweekly,-15100.00,debit,Payroll,Salaries & Wages,high,
TXN-0210-002,2026-02-10,bank,Austin Energy - Electric Utility,-410.00,debit,Operating Expenses,Utilities,high,
TXN-0212-001,2026-02-12,bank,Pacific Components Inc,-3100.00,debit,COGS,Inventory Purchases,high,
TXN-0214-001,2026-02-14,bank,Amazon Seller Payout,14200.00,credit,Revenue,Marketplace Sales,high,
TXN-0214-002,2026-02-14,bank,Meta Platforms - Advertising,-750.00,debit,Marketing & Advertising,Digital Advertising,high,
TXN-0215-001,2026-02-15,bank,State Farm Insurance,-560.00,debit,Operating Expenses,Insurance,high,
TXN-0218-001,2026-02-18,bank,City of Austin - Water Utility,-88.40,debit,Operating Expenses,Utilities,high,
TXN-0220-001,2026-02-20,bank,eBay Managed Payments,3800.00,credit,Revenue,Marketplace Sales,high,
TXN-0222-001,2026-02-22,bank,Amazon Seller Payout,18900.00,credit,Revenue,Marketplace Sales,high,
TXN-0225-001,2026-02-25,bank,ADP Payroll Services - Biweekly,-15100.00,debit,Payroll,Salaries & Wages,high,
TXN-0227-001,2026-02-27,bank,TechSource Distributors,-5800.00,debit,COGS,Inventory Purchases,high,
TXN-0228-001,2026-02-28,bank,Shopify Payout - Direct Sales,6200.00,credit,Revenue,Direct Sales,high,
TXN-0228-002,2026-02-28,bank,Amazon Seller Payout,11500.00,credit,Revenue,Marketplace Sales,high,
TXN-0301-001,2026-03-01,bank,Westfield Commercial Properties - Rent,-3200.00,debit,Operating Expenses,Rent & Facilities,high,
TXN-0301-002,2026-03-01,bank,Shopify Inc - Monthly Subscription,-79.00,debit,Operating Expenses,Software & Subscriptions,high,
TXN-0304-001,2026-03-04,bank,ATM Cash Withdrawal,-500.00,debit,Miscellaneous,Petty Cash,high,
TXN-0303-001,2026-03-03,bank,Amazon Seller Payout,18450.00,credit,Revenue,Marketplace Sales,high,
TXN-0303-002,2026-03-03,bank,TechSource Distributors,-8750.00,debit,COGS,Inventory Purchases,high,
TXN-0305-001,2026-03-05,bank,FedEx Shipping Services,-1230.45,debit,COGS,Shipping & Freight,high,
TXN-0305-002,2026-03-05,bank,Google Ads - Campaign CPC,-650.00,debit,Marketing & Advertising,Digital Advertising,high,
TXN-0307-001,2026-03-07,bank,eBay Managed Payments,5890.00,credit,Revenue,Marketplace Sales,high,
TXN-0307-002,2026-03-07,bank,UPS Freight Charges,-980.00,debit,COGS,Shipping & Freight,high,
TXN-0308-001,2026-03-08,bank,Shopify Payout - Direct Sales,3200.00,credit,Revenue,Direct Sales,high,
TXN-0310-001,2026-03-10,bank,ADP Payroll Services - Biweekly,-15400.00,debit,Payroll,Salaries & Wages,high,
TXN-0310-002,2026-03-10,bank,Austin Energy - Electric Utility,-420.35,debit,Operating Expenses,Utilities,high,
TXN-0311-001,2026-03-11,bank,AT&T Business Services,-189.99,debit,Operating Expenses,Utilities,high,
TXN-0312-001,2026-03-12,bank,Summit Electronics Inc,-5200.00,debit,COGS,Inventory Purchases,high,
TXN-0313-001,2026-03-13,bank,Staples Inc,-154.60,debit,Operating Expenses,Office Supplies,high,REQUIRES_REVIEW
TXN-0314-001,2026-03-14,bank,Amazon Seller Payout,15830.00,credit,Revenue,Marketplace Sales,high,REQUIRES_REVIEW
TXN-0314-002,2026-03-14,bank,Meta Platforms - Advertising,-800.00,debit,Marketing & Advertising,Digital Advertising,high,
TXN-0315-001,2026-03-15,bank,State Farm Insurance - Commercial Policy,-560.00,debit,Operating Expenses,Insurance,high,
TXN-0316-001,2026-03-16,bank,Shopify Payout - Direct Sales,2800.00,credit,Revenue,Direct Sales,high,
TXN-0317-001,2026-03-17,bank,FedEx Shipping Services,-890.00,debit,COGS,Shipping & Freight,high,
TXN-0318-001,2026-03-18,bank,City of Austin - Water Utility,-95.20,debit,Operating Expenses,Utilities,high,
TXN-0319-001,2026-03-19,bank,Pacific Components Inc,-3400.00,debit,COGS,Inventory Purchases,high,
TXN-0320-001,2026-03-20,bank,eBay Managed Payments,4760.00,credit,Revenue,Marketplace Sales,high,
TXN-0321-001,2026-03-21,bank,Intuit QuickBooks - Subscription,-45.00,debit,Operating Expenses,Software & Subscriptions,high,
TXN-0322-001,2026-03-22,bank,Amazon Seller Payout,21200.00,credit,Revenue,Marketplace Sales,high,
TXN-0323-001,2026-03-23,bank,MISC ONLINE SVC,-75.00,debit,Uncategorized,Unknown,low,REQUIRES_REVIEW
TXN-0324-001,2026-03-24,bank,UPS Freight Charges,-1100.00,debit,COGS,Shipping & Freight,high,
TXN-0325-001,2026-03-25,bank,ADP Payroll Services - Biweekly,-15400.00,debit,Payroll,Salaries & Wages,high,
TXN-0325-002,2026-03-25,bank,Shopify Payout - Direct Sales,4100.00,credit,Revenue,Direct Sales,high,
TXN-0326-001,2026-03-26,bank,Google Ads - Campaign CPC,-720.00,debit,Marketing & Advertising,Digital Advertising,high,
TXN-0327-001,2026-03-27,bank,Office Depot - Supplies,-210.30,debit,Operating Expenses,Office Supplies,high,
TXN-0328-001,2026-03-28,bank,TechSource Distributors,-6100.00,debit,COGS,Inventory Purchases,high,
TXN-0329-001,2026-03-29,bank,Amazon Seller Payout,14340.00,credit,Revenue,Marketplace Sales,high,
TXN-0330-001,2026-03-30,bank,FedEx Shipping Services,-670.00,debit,COGS,Shipping & Freight,high,
TXN-0331-001,2026-03-31,bank,Meta Platforms - Advertising,-550.00,debit,Marketing & Advertising,Digital Advertising,high,
TXN-0302-W01,2026-03-02,wallet,Chipotle - Team Lunch,-62.40,debit,Meals & Entertainment,Team Meals,high,
TXN-0306-W01,2026-03-06,wallet,Central Parking LLC,-18.00,debit,Travel & Transport,Parking,high,
TXN-0309-W01,2026-03-09,wallet,Costco - Coffee Supplies,-34.50,debit,Operating Expenses,Office Supplies,medium,
TXN-0311-W01,2026-03-11,wallet,Uber - Client Meeting,-27.80,debit,Travel & Transport,Rideshare,high,
TXN-0315-W01,2026-03-15,wallet,Walmart - Office Snacks,-41.20,debit,Meals & Entertainment,Team Meals,medium,
TXN-0318-W01,2026-03-18,wallet,USPS - Postage,-22.00,debit,Miscellaneous,Postage,high,
TXN-0322-W01,2026-03-22,wallet,Panera Bread - Team Lunch,-58.90,debit,Meals & Entertainment,Team Meals,high,
TXN-0325-W01,2026-03-25,wallet,Uber - Client Site Visit,-31.50,debit,Travel & Transport,Rideshare,high,
TXN-0328-W01,2026-03-28,wallet,Best Buy - Printer Ink,-45.60,debit,Operating Expenses,Office Supplies,high,
TXN-0330-W01,2026-03-30,wallet,Downtown Garage - Parking,-12.00,debit,Travel & Transport,Parking,high,
TXN-0308-C01,2026-03-08,cash,Delivery tip - local courier,-25.00,debit,COGS,Shipping & Freight,medium,
TXN-0312-C01,2026-03-12,cash,Emergency supplies - hardware store,-38.70,debit,Operating Expenses,Office Supplies,medium,
TXN-0316-C01,2026-03-16,cash,Courier gratuity,-15.00,debit,COGS,Shipping & Freight,medium,
TXN-0320-C01,2026-03-20,cash,Parking meters,-8.50,debit,Travel & Transport,Parking,high,
TXN-0323-C01,2026-03-23,cash,Coffee meeting - client,-24.30,debit,Meals & Entertainment,Client Meals,medium,
TXN-0327-C01,2026-03-27,cash,Ace Hardware - cable organizers,-42.15,debit,Operating Expenses,Office Supplies,medium,
