Wallet ID,ABC-COMPANY-WALLET-0091
Account Name,ABC Company - Operations
Statement Period,March 2026

Transaction ID,Date,Description,Type,Amount,Running Balance
GCH-400201,2026-03-01,Wallet Load - Corporate Card,Credit,$500.00,$500.00
GCH-400215,2026-03-02,Chipotle - Team Lunch,Debit,$62.40,$437.60
GCH-400278,2026-03-06,Central Parking LLC,Debit,$18.00,$419.60
GCH-400312,2026-03-09,Costco - Coffee Supplies,Debit,$34.50,$385.10
GCH-400356,2026-03-11,Uber - Client Meeting Transport,Debit,$27.80,$357.30
GCH-400401,2026-03-15,Walmart - Office Snacks,Debit,$41.20,$316.10
GCH-400445,2026-03-18,USPS - Postage & Stamps,Debit,$22.00,$294.10
GCH-400460,2026-03-20,Wallet Load - Corporate Card,Credit,$200.00,$494.10
GCH-400502,2026-03-22,Panera Bread - Team Lunch,Debit,$58.90,$435.20
GCH-400534,2026-03-25,Uber - Client Site Visit,Debit,$31.50,$403.70
GCH-400578,2026-03-28,Best Buy - Printer Ink,Debit,$45.60,$358.10
GCH-400601,2026-03-30,Downtown Garage - Parking,Debit,$12.00,$346.10
